name,brand,category,surface,cushioning,stability,sex_fit
ASICS Gel-Kayano,ASICS,stability,road,high,high,unisex
Brooks Adrenaline GTS,Brooks,stability,road,medium-high,high,unisex
Nike Pegasus,Nike,neutral,road,medium,medium,unisex
Hoka Clifton,Hoka,cushioned,road,high,low,unisex
Saucony Ride,Saucony,neutral,road,medium,medium,unisex
New Balance 1080,New Balance,cushioned,road,high,low,unisex
Salomon Speedcross,Salomon,trail,trail,medium,medium,unisex
Hoka Speedgoat,Hoka,trail,trail,high,medium,unisex
Nike ZoomX Vaporfly,Nike,neutral,road,low,low,unisex
ASICS Nimbus,ASICS,cushioned,road,high,low,unisex
